127.0.0.1 - - [22/Oct/2018:19:50:23 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:32 -0300] "GET /Projeto/utilcontroller.do?o=est&valor= HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:32 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor= HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:38 -0300] "GET /Projeto/css/img/icons/git2.png HTTP/1.1" 200 15508
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:39 -0300] "GET /Projeto/css/img/icons/likedin2.png HTTP/1.1" 200 15381
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:39 -0300] "GET /Projeto/css/img/icons/twitter2.png HTTP/1.1" 200 15536
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:40 -0300] "GET /Projeto/css/img/icons/face2.png HTTP/1.1" 200 15273
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:42 -0300] "GET /Projeto/css/img/icons/local2.png HTTP/1.1" 200 15639
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:46 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:48 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:50 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:50 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:50 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:51 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:52 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:52 -0300] "GET /Projeto/css/img/sobre/3.jpg HTTP/1.1" 200 529858
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:52 -0300] "GET /Projeto/css/img/sobre/1.jpg HTTP/1.1" 200 588527
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:55:52 -0300] "GET /Projeto/css/img/sobre/2.jpg HTTP/1.1" 200 702433
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:04 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:04 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:06 -0300] "GET /Projeto/planos.jsp HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:06 -0300] "GET /Projeto/css/img/planos/O699PC0.jpg HTTP/1.1" 200 1244663
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:20 -0300] "GET /Projeto/css/img/icons/close.png HTTP/1.1" 200 15386
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:24 -0300] "POST /Projeto/logincontroller.do?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:24 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:28 -0300] "POST /Projeto/logincontroller.do?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:56:28 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:59:04 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:19:59:05 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:02:19 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:02:21 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:02:21 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:02:23 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:03:50 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:03:51 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:03:51 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:04:34 -0300] "GET /Projeto/css/img/icons/close2.png HTTP/1.1" 200 15446
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:02 -0300] "POST /Projeto/logincontroller.do?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:02 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 11578
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:03 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:03 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:08 -0300] "GET /Projeto/empresacontroller.do?acao=myperfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:08 -0300] "GET /Projeto/empresa.jsp HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:08 -0300] "GET /Projeto/css/img/icons/edit.png HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:08 -0300] "GET /Projeto/css/img/icons/padlockClosed.png HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:11 -0300] "GET /Projeto/css/img/icons/padlockOpen.png HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:12 -0300] "GET /Projeto/css/img/icons/editWhite.png HTTP/1.1" 200 15990
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:40 -0300] "GET /Projeto/vagacontroller.do?acao=minhasvagas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:41 -0300] "GET /Projeto/vagas.jsp HTTP/1.1" 200 8002
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:45 -0300] "GET /Projeto/vagacontroller.do?acao=perfilvaga&id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:45 -0300] "GET /Projeto/perfilVagas.jsp HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:45 -0300] "GET /Projeto/css/img/vagas/vagas.jpg HTTP/1.1" 200 48621
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:45 -0300] "GET /Projeto/css/img/icons/delete.png HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:47 -0300] "GET /Projeto/css/img/icons/delete2.png HTTP/1.1" 200 15364
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:47 -0300] "GET /Projeto/css/img/icons/edit2.png HTTP/1.1" 200 15590
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:48 -0300] "GET /Projeto/vagacontroller.do?acao=alterarvaga&id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:48 -0300] "GET /Projeto/edvaga.jsp HTTP/1.1" 200 11016
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:15:48 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor=1 HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:16:16 -0300] "GET /Projeto/cadvaga.jsp HTTP/1.1" 200 10855
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:16:16 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor= HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:16:38 -0300] "GET /Projeto/utilcontroller.do?o=sub&valor=1 HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:16:57 -0300] "POST /Projeto/vagacontroller.do?acao=cadastrarvaga HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:10 -0300] "GET /Projeto/vagacontroller.do?acao=minhasvagas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:10 -0300] "GET /Projeto/vagas.jsp HTTP/1.1" 200 8002
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:11 -0300] "GET /Projeto/vagacontroller.do?acao=perfilvaga&id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:11 -0300] "GET /Projeto/perfilVagas.jsp HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:14 -0300] "GET /Projeto/empresacontroller.do?acao=myperfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:14 -0300] "GET /Projeto/empresa.jsp HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:20 -0300] "GET /Projeto/empresacontroller.do?acao=editarperfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:20 -0300] "GET /Projeto/edempresa.jsp HTTP/1.1" 200 11976
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:20 -0300] "GET /Projeto/utilcontroller.do?o=est&valor=24 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:30 -0300] "GET /Projeto/utilcontroller.do?o=cid&fk=3 HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:33 -0300] "GET /Projeto/utilcontroller.do?o=cid&fk=24 HTTP/1.1" 200 17405
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:17:41 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:03 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 8387
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:03 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 11578
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:03 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:04 -0300] "GET /Projeto/css/img/iconSearch2.png HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:12 -0300] "GET /Projeto/freelacontroller.do?query=Php&acao=pesqfreela HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:12 -0300] "GET /Projeto/freelancers.jsp HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:12 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor= HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:12 -0300] "GET /Projeto/css/img/resultados/O6NM390.jpg HTTP/1.1" 200 397846
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:18 -0300] "GET /Projeto/freelacontroller.do?acao=viewperfil&id=57 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:18 -0300] "GET /Projeto/freelancer.jsp HTTP/1.1" 200 9398
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:45 -0300] "GET /Projeto/sobre.jsp HTTP/1.1" 200 8387
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:46 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 11578
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:46 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:51 -0300] "GET /Projeto/freelacontroller.do?acao=pesqfreelacat&p=&ncategoria=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:51 -0300] "GET /Projeto/freelancers.jsp HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:51 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor= HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:53 -0300] "GET /Projeto/freelacontroller.do?acao=viewperfil&id=59 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:18:53 -0300] "GET /Projeto/freelancer.jsp HTTP/1.1" 200 9316
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:01 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 11578
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:01 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:05 -0300] "GET /Projeto/empresacontroller.do?acao=myperfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:05 -0300] "GET /Projeto/empresa.jsp HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:07 -0300] "GET /Projeto/logincontroller.do?acao=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:07 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:07 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:09 -0300] "GET /Projeto/cadfreela.jsp HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:09 -0300] "GET /Projeto/utilcontroller.do?o=est&valor= HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:19:09 -0300] "GET /Projeto/utilcontroller.do?o=cat&valor= HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:06 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:06 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:26 -0300] "POST /Projeto/logincontroller.do?acao=logar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:26 -0300] "GET /Projeto/index.jsp HTTP/1.1" 200 11578
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:26 -0300] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [22/Oct/2018:20:20:29 -0300] "GET /Projeto/freelacontroller.do?acao=pesqfreelacat&p=&ncategoria=1 HTTP/1.1" 302 -
