0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/fotografo.jpg HTTP/1.1" 200 90673
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/redacao.png HTTP/1.1" 200 101199
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/marketingDigital.jpg HTTP/1.1" 200 64311
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/engSoft.jpg HTTP/1.1" 200 62364
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/designer.jpg HTTP/1.1" 200 66510
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/boot/fotorama.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:32 -0200] "GET /Projeto/css/img/icons/local.png HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:39 -0200] "GET /Projeto/index.jsp HTTP/1.1" 200 10674
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:39 -0200] "GET /Projeto/js/jquery.js HTTP/1.1" 200 256805
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:39 -0200] "GET /Projeto/js/fotorama.js HTTP/1.1" 200 38916
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:39 -0200] "GET /Projeto/js/jqParallax.js HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [13/Nov/2018:22:08:39 -0200] "GET /Projeto/js/maskMoney.js HTTP/1.1" 200 5070
