0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:27 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:27 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:27 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:27 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:27 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:34 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7694
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:34 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:34 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 200 17477
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:49 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7694
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:49 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:49 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:49 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:49 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:51 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 200 17475
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:02:52 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 304 -
